cy_ticker,cy_name
CBKC,Christopher & Banks Corporation 
,
TUIFF,TUI AG 
,
JILL,"J.Jill, Inc. "
,
RH,RH 
,
ENZ,"Enzo Biochem, Inc. "
,
MESA,"Mesa Air Group, Inc. "
,
EVTZF,Evertz Technologies Limited 
,
GNSS,Genasys Inc. 
,
NCNO,"nCino, Inc. "
,
OXM,"Oxford Industries, Inc. "
,
NNWWF,"North West Company, Inc. "
,
VRNT,Verint Systems Inc. 
,
DLMAF,Dollarama Inc. 
,
POWL,"Powell Industries, Inc. "
,
GME,GameStop Corp. 
,
AVAV,"AeroVironment, Inc. "
,
ODC,Oil-Dri Corporation of America 
,
AZO,"AutoZone, Inc. "
,
SGU,"Star Group, L.P. "
,
CONN,"Conn's, Inc. "
,
JW.A,"John Wiley & Sons, Inc. "
,
GIII,"G-III Apparel Group, Ltd. "
,
BF.B,Brown-Forman Corporation 
,
TOL,"Toll Brothers, Inc. "
,
ALCO,"Alico, Inc. "
,
LQDT,"Liquidity Services, Inc. "
,
CMD,Cantel Medical Corp. 
,
BNED,"Barnes & Noble Education, Inc. "
,
CASY,"Casey's General Stores, Inc. "
,
RYB,"RYB Education, Inc. "
,
ASHTF,Ashtead Group plc 
,
SFIX,"Stitch Fix, Inc. "
,
MMNFF,MedMen Enterprises Inc. 
,
SMAR,Smartsheet Inc. 
,
HQY,"HealthEquity, Inc. "
,
DLHC,DLH Holdings Corp. 
,
JKS,"JinkoSolar Holding Co., Ltd. "
,
LITB,"LightInTheBox Holding Co., Ltd. "
,
ALOT,"AstroNova, Inc. "
,
HTHT,Huazhu Group Limited 
,
AFYA,Afya Limited 
,
CULP,"Culp, Inc. "
,
BIG,"Big Lots, Inc. "
,
GCO,Genesco Inc. 
,
MIND,"MIND Technology, Inc. "
,
RGCO,"RGC Resources, Inc. "
,
ZUMZ,Zumiez Inc. 
,
MDLA,"Medallia, Inc. "
,
none,none
,
DOCU,"DocuSign, Inc. "
,
PD,"PagerDuty, Inc. "
,
DOMO,"Domo, Inc. "
,
COO,"The Cooper Companies, Inc. "
,
ZUO,"Zuora, Inc. "
,
SWBI,"Smith & Wesson Brands, Inc. "
,
ULTA,"Ulta Beauty, Inc. "
,
MRVL,Marvell Technology Group Ltd. 
,
ATGN,"Altigen Communications, Inc. "
,
YEXT,"Yext, Inc. "
,
TLYS,"Tilly's, Inc. "
,
IDT,IDT Corporation 
